Country,ISO,Region,Sub-region,Year,World Bank Classification,r_Gross Domestic Product (PPP),x_y_r_Life Expectancy,x_Social Indicator 2,x_y_r_GNI per capita,y_Economic Indicator 2
Mauritania,MRT,Africa,Western Africa,2010,2,11700000000,62.00617,,1140,
Mauritius,MUS,Africa,Eastern Africa,2010,3,19500000000,72.96732,,8250,
Mexico,MEX,Americas,Central America,2010,3,1730000000000,76.02678,,8840,
"Micronesia, Fed. Sts.",FSM,Oceania,Micronesia,2010,2,338796966,68.61227,,2870,
Moldova,MDA,Europe,Eastern Europe,2010,2,13600000000,69.70927,,1820,
Monaco,MCO,Europe,Western Europe,2010,4,,,,,
Mongolia,MNG,Asia,Eastern Asia,2010,2,20500000000,67.60383,,2000,
Montenegro,MNE,Europe,Southern Europe,2010,3,8460000000,75.04529,,6890,
Morocco,MAR,Africa,Northern Africa,2010,2,208000000000,72.57693,,2950,
Mozambique,MOZ,Africa,Eastern Africa,2010,1,21800000000,53.2269,,460,
Myanmar,MMR,Asia,South-eastern Asia,2010,1,183000000000,64.91749,,830,
Namibia,NAM,Africa,Southern Africa,2010,3,18000000000,62.48029,,4360,
Nauru,NRU,Oceania,Micronesia,2010,,,,,5800,
Nepal,NPL,Asia,Southern Asia,2010,1,52600000000,67.97149,,540,
Netherlands,NLD,Europe,Western Europe,2010,5,741000000000,80.70244,,53500,
New Caledonia,NCL,Oceania,Melanesia,2010,4,,77.47317,,,
New Zealand,NZL,Oceania,Australia and New Zealand,2010,5,136000000000,80.70244,,29600,
Nicaragua,NIC,Americas,Central America,2010,2,22600000000,73.58173,,1480,
Niger,NER,Africa,Western Africa,2010,1,13100000000,58.259,,360,
Nigeria,NGA,Africa,Western Africa,2010,2,800000000000,51.32951,,1460,
Northern Mariana Islands,MNP,Oceania,Micronesia,2010,4,,,,,
Norway,NOR,Europe,Northern Europe,2010,5,284000000000,80.99756,,88400,
Oman,OMN,Asia,Western Asia,2010,4,135000000000,76.0528,,18800,
Pakistan,PAK,Asia,Southern Asia,2010,2,716000000000,65.16256,,1080,
Palau,PLW,Oceania,Micronesia,2010,3,249000000,,,8910,
Panama,PAN,Americas,Central America,2010,3,55000000000,76.86363,,7010,
Papua New Guinea,PNG,Oceania,Melanesia,2010,2,14500000000,61.99483,,1270,
Paraguay,PRY,Americas,South America,2010,2,44400000000,72.30129,,2930,
Peru,PER,Americas,South America,2010,3,287000000000,73.6398,,4360,
Philippines,PHL,Asia,South-eastern Asia,2010,2,514000000000,67.78332,,2750,
Poland,POL,Europe,Eastern Europe,2010,5,802000000000,76.24634,,12700,
Portugal,PRT,Europe,Southern Europe,2010,5,289000000000,79.02683,,23000,
Puerto Rico,PRI,Americas,Caribbean,2010,4,126000000000,78.41163,,16600,
Qatar,QAT,Asia,Western Asia,2010,4,218000000000,77.82551,,66890,
Romania,ROU,Europe,Eastern Europe,2010,3,348000000000,73.45854,,8590,
Russian Federation,RUS,Europe,Eastern Europe,2010,3,2930000000000,68.8561,,9980,
Rwanda,RWA,Africa,Eastern Africa,2010,1,13400000000,61.40178,,550,
Samoa,WSM,Oceania,Polynesia,2010,2,985000000,72.417,,3230,
San Marino,SMR,Europe,Southern Europe,2010,4,,83.15938,,,
Sao Tome and Principe,STP,Africa,Middle Africa,2010,2,452334225,65.85468,,1190,
Saudi Arabia,SAU,Asia,Western Asia,2010,4,1220000000000,73.70161,,18500,
Senegal,SEN,Africa,Western Africa,2010,2,27600000000,64.01444,,1040,
Serbia,SRB,Europe,Southern Europe,2010,3,88200000000,74.33659,,5850,
Seychelles,SYC,Africa,Eastern Africa,2010,3,1790000000,73.19756,,10200,
Sierra Leone,SLE,Africa,Western Africa,2010,1,7702647247,48.22895,,470,
Singapore,SGP,Asia,South-eastern Asia,2010,4,358000000000,81.54146,,44800,
Sint Maarten (Dutch part),SXM,Americas,Caribbean,2010,4,,,,,
Slovak Republic,SVK,Europe,Eastern Europe,2010,5,135000000000,75.1122,,17200,
Slovenia,SVN,Europe,Southern Europe,2010,5,56900000000,79.42195,,24600,
Solomon Islands,SLB,Oceania,Melanesia,2010,2,922000000,67.06566,,910,
Somalia,SOM,Africa,Eastern Africa,2010,1,,54.02366,,,
South Africa,ZAF,Africa,Southern Africa,2010,3,601000000000,54.39076,,6250,
South Sudan,SSD,Africa,Eastern Africa,2010,0,37400000000,53.6649,,1060,
Spain,ESP,Europe,Southern Europe,2010,5,1490000000000,81.62683,,32100,
Sri Lanka,LKA,Asia,Southern Asia,2010,2,169000000000,74.33924,,2430,
St. Kitts and Nevis,KNA,Americas,Caribbean,2010,3,1080000000,,,13100,
St. Lucia,LCA,Americas,Caribbean,2010,3,1830000000,74.4711,,6560,
St. Martin (French part),MAF,Americas,Caribbean,2010,4,,78.72195,,,
St. Vincent and the Grenadines,VCT,Americas,Caribbean,2010,3,1060000000,72.34639,,6030,
Sudan,SDN,Africa,Northern Africa,2010,2,147000000000,62.04259,,1200,
Suriname,SUR,Americas,South America,2010,3,7370000000,70.36273,,7780,
Swaziland,SWZ,Africa,Southern Africa,2010,2,8880000000,48.34576,,3060,
Sweden,SWE,Europe,Northern Europe,2010,5,391000000000,81.45122,,53900,
Switzerland,CHE,Europe,Western Europe,2010,5,414000000000,82.24634,,77400,
Syrian Arab Republic,SYR,Asia,Western Asia,2010,2,,72.30744,,,
Tajikistan,TJK,Asia,Central Asia,2010,1,15800000000,68.56339,,920,
Tanzania,TZA,Africa,Eastern Africa,2010,1,91700000000,61.62561,,700,
Thailand,THA,Asia,South-eastern Asia,2010,3,888000000000,73.69437,,4610,
Timor-Leste,TLS,Asia,South-eastern Asia,2010,2,2010000000,67.30839,,3010,
Togo,TGO,Africa,Western Africa,2010,1,7700000000,57.28156,,450,
Tonga,TON,Oceania,Polynesia,2010,2,509000000,72.18261,,3570,
Trinidad and Tobago,TTO,Americas,Caribbean,2010,4,40700000000,69.79756,,16500,
Tunisia,TUN,Africa,Northern Africa,2010,3,109000000000,74.60244,,4170,
