Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Jordan,2006,81.4,72.8,6,2,80,19.9,13.87,141.7,12.7,14,3.65,9290,28.34,-5.66,3.69,,8.5,66.83,53,23.19,5.5,19.38,68.07,61.46,62.2,61.27,28.85,24.55,42,38.81,1818.92,98.2,,73,,18.18,98.59,1.8,
Kazakhstan,2006,54.5,66.16,6,2,51.06,26.8,3.27,91.5,65.1,7.8,2.36,14220,33.9,44.4,0.24,1300,181,18.05,26,52.66,10.4,12.44,52.02,39.02,19.14,41.67,16.83,,32,58.03,4261.21,97.1,19.59,7,53.93,3.09,97.65,11.1,0.62
Kenya,2006,22,54.59,3,4,19.97,51.8,7.53,55.2,60.4,9.5,4.88,2150,18.63,9.37,3.68,77000,355,19.02,22,15.46,7.3,14.32,54.97,31.71,21.53,50,42.79,15.14,66,,140.96,28.3,2.97,46.3,44.06,2.99,76.01,3.5,35.11
Lebanon,2006,86.7,77.25,6,2,27.12,11.2,15,94.7,20.7,8.4,1.68,11340,20.37,-0.93,3.73,200,11,16.59,36,5.31,4.7,7.46,79.32,45.37,31.58,47.55,33.65,15.16,46,44.1,2694.82,81.8,34.05,91.2,37.36,29.92,88.85,,
Mali,2006,32.8,53.45,1,4,12.27,93.2,0.73,61,40.5,8.3,6.76,1570,21.19,17.07,13.03,8800,68,40,28,57.49,10.2,,38.34,27.8,47.37,36.27,56.25,13.32,74,,,20.6,,201.9,,2.61,57.44,,50.59
Mexico,2006,76.6,75.44,6,5,49.41,16.2,19.52,56.5,42.2,3.2,2.48,12860,23.51,22.25,0.03,9800,20,48.78,33,26.57,22.6,18.11,60.38,60,40.67,63.73,51.44,,80,23.61,1877.56,79.4,33.89,24.1,36.09,11.15,95.16,9.4,3.29
Mongolia,2006,63.5,65.61,3,2,30.28,32.7,,112.9,55.5,5.9,2.25,5870,35.89,41.84,6.08,100,428,34.63,28,66.67,6.6,6.04,37.36,40,44.98,44.61,54.81,28.71,83,47.53,1298.82,53.5,,7.9,3.30,46.12,97.49,13.1,3.19
Pakistan,2006,35.1,64.1,3,2,21.45,78.7,6.5,35.7,20.9,6.1,4.02,3920,19.33,11.92,1.56,4900,276,24.39,22,2.42,21.3,13.81,56.04,41.95,23.44,35.29,24.04,10.39,35,4.99,488.56,47.6,1.9,22.8,32.72,7.92,66.28,6.4,14.8
Panama,2006,64,76.14,6,5,63.42,19,17.35,137.9,46.5,8.7,2.55,10980,29.42,23.87,0.18,1000,61,43.9,31,43.48,16.7,8.32,74.59,57.56,50.24,60.29,64.9,,83,43.08,1465.4,70.1,,13.9,39.42,,98.75,11,10.99
Papua New Guinea,2006,13.1,61,3,6,1.6,54.7,1.75,,71.3,2.7,4.21,1490,,,5.65,2600,432,7.32,24,20.29,0.9,,,25.85,19.62,22.06,48.56,,64,,,19.1,3.81,23.8,140.10,1.81,,9.8,32.95
Peru,2006,75.4,72.74,6,3,32.54,20.1,20.7,51.8,58.1,4.6,2.65,6710,19.65,28.94,0.58,3900,153,51.22,33,22.22,29.2,18.01,51.83,32.2,25.84,56.86,49.04,15.67,74,34.32,887.62,68.5,13.61,31.1,45.15,4.53,98.92,11.2,12.39
Philippines,2006,46.3,67.37,3,2,49.07,26.9,5.74,94.9,48.7,8,3.4,5710,18.01,16.22,0.37,1300,331,22.44,25,8.21,15.3,23.62,54.14,54.15,43.06,50.49,45.19,13.71,72,27.85,569.66,67.8,12.35,22.2,55.52,7.82,87.37,7.1,16.45
Russia,2006,73.5,66.64,6,7,104.84,13.3,18.02,54.7,56.5,7.1,1.3,14480,21.17,33.9,,,132,20.49,25,19.32,9.8,17.91,58.25,38.54,20.1,39.22,23.56,16.57,35,72.84,6098.54,72.3,32.43,4.6,,30.35,92.82,,0.54
Rwanda,2006,20.2,56.39,1,4,3.25,63.1,,37.6,85.9,0.6,5.03,990,16.72,3.73,19.57,10000,100,51.71,25,25.6,48.8,5.3,49.13,44.88,28.71,25.49,14.9,,32,3.63,,53.3,0.22,188.3,,0.73,,5.1,66.45
Senegal,2006,41.3,61.05,1,4,25.75,54,5.61,68.7,65,10,5.2,1900,24.7,7.23,9.33,3800,139,39.51,33,35.27,19.2,14.41,61.14,43.9,49.28,44.12,46.63,,76,5.58,156.84,43.1,,112.6,,2.93,66.16,,38.33
South Africa,2006,60.1,51.61,6,7,81.08,50,7.61,60.3,47.6,22.6,2.63,10380,20.19,18.46,0.27,420000,963,70.24,46,46.86,32.8,16.43,68,69.27,59.33,71.08,67.79,27.27,88,,4777.88,61.1,26.98,6.9,261.83,7.48,,39.2,25.44
Sri Lanka,2006,18.4,74.12,3,2,26.88,11.4,2.54,71.3,39.6,6.5,2.28,6310,27.98,16.98,2.82,500,66,53.17,31,9.18,4.9,,,50.73,57.42,45.1,37.5,14.58,59,,406.71,87.5,,43.7,27.47,12.11,96.73,10.4,3.75
Tunisia,2006,65.3,73.9,3,4,72.23,18.5,12.99,93.9,24.4,12.5,2.03,8040,23.45,21.56,1.32,200,26,57.07,46,53.62,22.8,17.18,60.57,71.71,57.89,55.39,12.5,18.51,24,32.5,1115.63,86.3,10.94,9.3,,12.99,98.63,2.4,2.87
Venezuela,2006,88.6,73.3,6,3,69.1,15.4,15.22,58.7,50.6,9.3,2.6,14750,26.92,41.29,0.03,6500,31,16.1,23,13.53,18,15.13,39.54,14.63,6.22,12.25,29.81,,54,,2958.43,91.2,23.98,25.4,,16.47,91.76,45,9.24
Vietnam,2006,27.9,74.31,3,2,22.03,22,17.25,138.3,72.4,2.3,1.9,3310,34.54,31.66,2.84,24000,172,23.9,26,57,27.3,19.38,42.69,48.78,41.63,28.43,7.69,22.19,19,16.67,655.33,63,3.51,24.3,,,91.88,1.2,22.01
Albania,2007,48.9,76.47,6,1,73.35,16.7,15.04,82.9,46.7,13.5,1.64,7490,38.66,11.95,2.79,44,17,28.64,34,37.68,7.1,8.84,54.79,42.23,27.27,55.83,50.96,,64,30.65,1213.12,88.9,19.24,46.1,,18.49,,3.5,0.62
Bangladesh,2007,28.2,68.86,3,2,23.47,45.9,1.8,39.9,56.1,4.3,2.52,2160,26.18,20.23,1.79,1300,225,11.65,21,9.18,,16.74,55.56,27.67,22.49,18.93,31.25,6.92,53,7.68,200.58,52.8,0.5,46.2,10.97,6.96,,2.6,22.11
Bolivia,2007,65.1,64.69,3,3,33.63,42.2,10.5,76.1,62.3,5.2,3.43,4510,15.19,22.72,3.77,1400,148,43.2,30,19.32,16.9,14.68,50.73,33.98,22.01,16.99,47.6,16.96,71,38.39,545.36,44,13.32,130,17.25,5.92,96.67,8.3,13.9
Brazil,2007,83.4,72.41,6,7,63.67,17.1,30.88,25.3,58.4,8.1,1.94,11870,19.82,21.18,0.02,42000,45,54.85,35,31.88,9,16.6,67.7,48.54,42.11,53.4,62.02,15.78,76,30.79,2137.76,78.8,108.37,10.4,98.04,18.16,92.47,,7.6
Burundi,2007,9.9,53.46,1,4,3.24,72.7,0.7,41.5,83,7.2,6.57,650,23.61,-3.36,35.48,4100,169,8.74,19,10.63,30.5,12.07,44.63,8.74,12.44,9.71,28.37,,45,2.36,,46.1,0.04,241.2,,1.7,78.99,,76.84
Central African Republic,2007,38.3,45.69,1,4,8.28,106.9,0.38,37.6,71.7,6.9,4.9,820,10.68,1.34,10.49,7900,561,10.68,20,6.28,10.5,6.65,31.34,3.4,1.91,8.25,17.79,,43,,,19.6,0,210.8,,0.49,57.14,,65.97
China,2007,45.2,74.34,6,7,41.02,17.2,16,62.7,65.2,3.8,1.53,6880,41.46,50.7,0.04,,86,32.52,36,28.5,20.6,32.37,42.86,59.71,41.15,50.97,5.29,9.77,17,20.84,2330.26,67.2,11.91,8.4,126.09,,,1.2,16.02
Colombia,2007,74.2,72.71,6,3,76.27,17.3,21.8,36.3,50.7,11.2,2.12,9350,23.03,19.78,0.36,9700,31,53.4,38,6.76,8.4,15.9,58.48,52.43,39.71,58.25,43.27,,62,32.63,974.39,78,24.52,18.6,49.16,11,95.78,34.8,10.61
Congo,2007,38.4,55.06,1,4,11.53,91.5,0.37,86.7,70.9,8.2,6.65,510,14.02,7.29,8.63,33000,327,5.83,17,2.9,8.4,20.71,45.21,1.46,2.39,9.22,11.54,7.15,26,4.39,102.82,25.6,,871.8,,0.47,,,87.68
Ecuador,2007,62.1,74.5,6,3,69.66,23.1,10.8,62.6,54.2,5,2.74,8040,22.7,23.98,0.44,1900,63,20.39,20,20.29,25,14.44,53.93,19.42,13.4,12.62,40.87,,69,,958.93,77.4,23.02,29.2,,14,99.37,16,10.05
Georgia,2007,52.6,73.42,6,1,58.74,18.6,8.26,89.2,55.2,13.3,1.76,5850,32.06,5.31,3.72,1000,149,50.97,39,25.12,9.4,12.73,65,57.77,45.45,60.68,37.5,17.72,62,36.93,1730.52,91.2,24.88,9.5,13.65,15.96,95.18,7.5,16.3
Ghana,2007,48.7,59.64,3,4,33.76,54.4,3.85,65.4,66.6,2.8,4.33,2530,20.11,3.8,4.73,21000,196,59.22,39,40.1,10.9,9.37,49.03,56.8,53.59,52.43,60.1,13.88,84,6.35,245.96,12.6,,38.9,9.70,4.56,72.39,1.8,22.71
Haiti,2007,47.4,59.98,1,5,26.28,62.7,7.2,53.9,59,7.2,3.58,1510,30.48,3.39,11.92,7000,257,4.85,14,10.14,4.1,,,6.31,6.22,21.36,29.33,,42,,25.32,24.6,,262.8,,2.93,,5.1,54.69
Honduras,2007,49.8,71.86,3,5,58.3,23.2,9.4,135.1,40.7,2.9,3.04,3940,33.67,5.61,3.91,1000,61,26.21,26,29.47,23.4,19.6,58.43,33.01,19.62,44.66,40.38,16.39,62,,695.01,73.3,11.23,58,,22.91,92.12,50.3,17.43
India,2007,29.9,65.3,3,7,20.16,51.9,3.95,46.2,33.4,3.7,2.83,3470,42.46,38.32,0.12,130000,268,40.29,34,14.01,9.1,18.88,46.4,57.28,56.94,44.17,59.13,12.27,76,13.19,543.36,32.6,3.38,74.6,151.46,9.01,96.97,3.5,33.95
Indonesia,2007,47.5,67.57,3,2,40.43,30.9,5.79,54.8,50.8,9.1,2.5,6750,24.92,28.96,0.22,66000,429,33.5,26,13.04,11.6,27.05,39.48,45.63,29.67,41.75,46.63,,65,17.82,546.34,54.1,11.47,80,48.98,5.97,96.74,,22.76
Jordan,2007,81.7,72.96,6,2,84.37,19.3,20,146,15.3,13.1,3.61,10000,30.27,-7.26,3.6,,7.3,67.96,51,33.82,6.4,21.24,65.54,62.62,63.16,61.65,29.81,24.69,42,40.44,1938.39,98.3,22.24,23.8,238.67,18.26,97.05,1.9,
Kazakhstan,2007,54.3,66.5,6,2,80.04,24.8,4.02,92.2,65.7,7.3,2.5,15590,35.53,41.99,0.23,1400,170,18.93,22,66.67,15.9,12.38,53.26,31.55,21.05,39.32,16.35,,32,,4487.29,97.2,37.19,7.6,39.46,3.3,97.32,10.5,0.53
Kenya,2007,22.4,55.7,3,4,30.06,49.5,7.95,53.9,60.6,9.4,4.83,2300,20.46,10.4,4.17,86000,344,17.48,21,11.11,7.2,14.46,54.92,36.41,16.75,47.57,39.42,15.16,64,,144.88,28.5,4.74,46.2,41.76,3.68,87.09,3.4,36.62
Lebanon,2007,86.8,77.62,6,2,30.44,10.4,18.74,101.3,21.1,9,1.63,12910,24.11,-0.72,3.87,200,13,19.42,30,3.38,4.7,7.54,78.11,44.66,26.79,46.12,32.69,15.1,51,46.92,2796.77,81.6,35.57,94.5,43.72,29.92,89.78,,
Mali,2007,33.6,54.26,1,4,19.89,90.1,0.81,56.6,42.8,8.5,6.72,1630,23.87,15.53,12.85,9300,66,46.6,31,51.21,10.2,,39.48,25.73,50.72,41.26,54.81,13.06,74,,,21.1,,115.2,,2.94,59.59,,50.15
Mexico,2007,76.9,75.59,6,5,58.63,15.8,20.81,57.1,42.9,3.4,2.45,13760,23.39,21.81,0.01,10000,20,50.49,36,23.19,23.2,17.38,60.58,59.22,36.36,63.59,50,,76,24.14,1905.75,80.1,37.83,22.9,38.12,12.25,94.87,7.8,3.55
Mongolia,2007,64.6,66.07,3,2,46.03,30.6,9,117.9,55.6,7.2,2.32,6490,38.71,40.05,5.77,100,428,31.07,30,70.05,6.6,6.93,37.65,35.92,44.02,45.63,56.25,23.48,82,46.95,1333.32,54.3,,6.6,14.46,53.09,97.74,11.3,1.34
Pakistan,2007,35.4,64.34,3,2,38.34,77.4,6.8,33,21.1,5.1,3.98,4120,18.79,12.23,1.46,5500,276,23.3,25,0.97,21.1,14.03,55.81,38.83,21.53,31.55,20.19,9.23,35,5.63,482.69,49.4,2.77,15.3,45.75,8.18,71.12,6.6,13.13
Panama,2007,64.3,76.31,6,5,86.24,18.5,22.29,145.6,47.4,6.4,2.54,12460,36.47,29.62,-0.68,1000,58,46.12,34,41.55,16.7,7.69,75.44,58.25,48.8,63.11,66.83,,83,43.22,1548.1,70.7,32.75,13,34.37,21.43,98.68,12.9,8.11
Papua New Guinea,2007,13.1,61.31,3,6,4.69,53.8,1.79,,71.1,2.5,4.16,1780,,,5.17,2400,432,8.25,20,20.77,0.9,,,29.13,17.7,28.16,52.4,,62,,,19,4.23,24.2,204.41,1.81,,8.1,35.07
Peru,2007,75.8,73,6,3,54.42,19,25.2,55.7,64.9,4.5,2.62,7520,22.03,29.39,0.33,3500,143,50,36,22.22,29.2,18.01,51.58,35.44,24.88,60.19,48.56,16.41,73,,968.13,69.4,16.35,28.3,67.91,5.18,98.88,10.4,10.03
Philippines,2007,46.1,67.48,3,2,64.52,26.4,5.97,86.6,48.3,7.4,3.32,6140,17.34,17.24,0.33,1600,325,24.76,23,8.21,20.5,22.74,54.45,55.34,39.23,51.46,45.19,13.53,69,,584.53,68.4,12.55,24.1,68.86,7.56,87.7,6.5,14.96
Russia,2007,73.6,67.5,6,7,119.18,12.4,24.66,51.7,57.1,6,1.41,16280,24.16,32.79,,,126,16.02,21,18.84,14,17.64,59.15,43.2,18.18,42.23,23.08,16.55,34,74.06,6286.05,72.3,45.02,4.2,,33.7,93.55,,0.2
Rwanda,2007,21.1,57.95,1,4,6.4,56.8,2.12,40.8,86.1,0.6,4.9,1070,18.93,9.93,19.23,9600,98,58.25,30,34.3,48.8,4.84,52.49,49.51,34.93,26.7,12.98,,33,3.7,,54.3,0.29,171.5,,1.07,,5,64.9
Senegal,2007,41.5,61.78,1,4,30.5,51.9,6.89,73.3,65.1,8.8,5.18,2000,29.25,6.85,7.77,3100,138,34.95,34,36.23,22,14.47,62.11,39.32,47.37,40.29,38.94,,76,6.19,180.8,43.6,,107,,3.1,68.68,,38.26
South Africa,2007,60.6,52,6,7,85.28,48.6,8.07,63.7,46.4,22.3,2.58,10920,20.99,19.66,0.28,390000,977,61.65,49,50.72,33,16.08,67.35,69.42,55.02,66.5,64.42,27.6,86,,4903.91,61.7,30.93,7.1,276.60,6.08,,37.2,21.17
Sri Lanka,2007,18.4,74.19,3,2,39.32,10.7,3.88,68.6,37.1,6,2.27,6890,27.95,17.58,1.92,500,66,56.8,32,7.73,5.8,,,51.94,57.42,45.15,34.62,14.22,54,,424.04,88.5,9.35,19.7,23.35,13.38,96.37,8.4,3.3
Tunisia,2007,65.4,74.2,3,4,76.34,17.5,17.1,104.1,24.5,12.4,2.04,8650,23.84,21.93,0.87,200,28,56.31,44,50.24,22.8,18.05,59.42,68.93,58.37,55.34,9.62,19.07,24,32.71,1159.99,87,14.07,8.3,,13.7,97.65,2.7,2.65
Venezuela,2007,88.6,73.39,6,3,86.13,15,20.83,56.2,50.1,7.5,2.56,16480,30.34,36.4,0.03,6300,29,13.11,19,12.56,18.6,14.43,42.57,14.08,2.87,6.31,26.44,,51,,2973,91.7,25.55,10,,17.32,92.87,47.5,
Vietnam,2007,28.5,74.48,3,2,52.02,21.4,20.76,154.6,72.3,2.3,1.91,3580,39.57,26,3.34,22000,168,29.61,27,52.66,25.8,19.38,42.83,46.6,42.58,30.58,8.17,21.47,21,18.36,738.47,64.7,7.69,20,,,,1.4,19.09
Albania,2008,50,76.65,6,1,58.91,16,23.86,86,45.9,13,1.63,8270,35.78,8.93,2.81,49,17,35.44,34,42.79,7.1,5.76,51.56,44.17,31.73,55.83,53.85,,65,32.08,1617.74,88.9,28.37,42.5,,23.29,90.27,3.1,0.37
Bangladesh,2008,29,69.28,3,2,30.17,43.6,2.5,42.6,56.3,4.4,2.45,2340,26.2,18.9,2.1,1300,225,14.56,21,9.62,6.3,16.93,55.57,27.67,24.52,17.96,33.17,7.66,40,8.61,202,52.8,0.82,25.5,12.79,7.01,92.84,2.8,20.91
Bolivia,2008,65.6,65.27,3,3,51.24,40.2,12.5,82.9,62.6,2.9,3.35,4830,17.55,24.5,3.89,1500,144,38.35,30,22.6,16.9,14.41,48.17,33.5,16.83,19.42,47.12,,70,,534.48,44,14.49,107.4,16.03,6.28,94.97,8.9,11.91
Brazil,2008,83.7,72.7,6,7,78.55,16.2,33.83,27.3,58.5,7.1,1.9,12510,21.62,21.43,0.03,42000,43,58.74,35,34.62,9,16.52,67.26,52.43,43.27,54.37,62.5,15.49,76,35.56,2198.48,78.8,110.9,8.2,34.91,18.8,98.54,,6.29
Burundi,2008,10.1,53.89,1,4,5.57,69.3,0.81,47.4,83,7.2,6.48,680,26.66,-1.77,32.49,3800,160,13.59,19,9.13,30.5,10.49,43.43,12.62,14.9,9.22,28.37,,45,2.55,,46.1,0.06,206.7,,1.73,88.81,3.9,76.03
Central African Republic,2008,38.5,46.28,1,4,13.62,105.5,1,34.4,72,7,4.81,840,12.73,0.3,13.11,8000,511,16.02,20,6.73,10.5,6.7,30.92,5.34,4.81,9.71,19.23,8.28,40,2.28,,19.6,0.12,237.6,,0.52,66.48,,66.26
China,2008,46.5,74.58,6,7,47.76,15.8,22.6,57,64.6,4.4,1.53,7680,43.27,50.36,0.03,,85,35.92,36,29.81,21.3,32.09,42.82,59.22,45.19,51.46,5.77,10.09,18,20.94,2457.54,67.2,15.45,8.4,38.68,,,1.1,14.65
Colombia,2008,74.5,72.91,6,3,91.61,16.9,25.6,38.1,51.1,11.1,2.08,9740,23.49,21.01,0.41,9800,32,50.49,38,5.77,8.4,15.25,57,53.88,39.42,59.22,42.79,12.94,61,35.25,974.22,78,26.42,14.9,35.95,28.58,96.29,33.2,10.71
Congo,2008,38.9,55.72,1,4,16.9,89.2,0.44,86.3,70.8,8.2,6.56,520,11.19,5.3,9.88,29000,327,7.28,17,2.88,8.4,23.41,40.33,1.46,2.88,7.77,9.62,9.24,25,5.51,98.92,25.6,,935.4,,0.47,,,85.56
Ecuador,2008,62.3,74.67,6,3,80.51,22.5,18.8,68.1,52.7,6,2.71,8710,26.39,26.66,0.38,1800,61,22.82,20,20.67,25,14.21,51.37,19.9,10.1,13.59,39.9,,69,38.68,1083.99,77.4,26.56,35.3,,17.58,,18,8.96
Georgia,2008,52.6,73.62,6,1,62.44,17.2,10.01,87,55.3,16.5,1.79,6080,25.96,-3.82,7.04,1000,140,50,39,16.83,6,12.06,68.74,65.53,48.56,65.05,38.94,23.81,54,34.28,1796.77,91.2,39.97,4,2.56,20.6,99.59,6.1,15.47
Ghana,2008,49.4,60.03,3,4,50.07,53.1,4.27,69.5,66.7,4.3,4.3,2740,21.45,2,4.6,20000,191,57.28,39,44.23,7.9,8.14,47.35,56.31,52.4,53.4,58.65,13.9,84,8.43,266.35,12.6,3.84,30.6,9.97,4.77,77.91,1.9,21.47
Haiti,2008,49,60.4,1,5,33.2,61.3,7.6,56.3,59.4,7.4,3.49,1530,28.84,-2.02,13.92,5800,248,5.83,14,10.1,4.1,,,7.28,7.69,22.82,28.85,,47,,23.6,24.6,,266,,2.88,,5.1,54.54
Honduras,2008,50.4,72.04,3,5,84.82,22.3,9.6,135.7,41.1,3.1,2.92,4130,36.07,2.97,4.22,1000,48,20.39,26,27.88,23.4,19.21,58.89,32.04,18.75,46.12,35.58,16.13,61,18.79,721.26,73.3,14.25,50.9,,24.36,96.19,61.4,16.14
India,2008,30.2,65.7,3,7,29.53,50,4.38,53.8,31.8,4.1,2.76,3620,38.22,32.99,0.18,120000,261,43.69,34,14.42,9.1,18.22,47.78,55.34,56.73,40.78,60.1,11.09,76,15.12,562.94,32.6,4.29,70.1,54.53,9.31,96.99,3.5,32.53
Indonesia,2008,48.3,67.76,3,2,60.01,29.7,7.92,58.6,51.2,8.4,2.5,7240,27.82,28.87,0.25,67000,424,34.47,26,15.38,11.6,27.81,37.46,46.6,31.25,43.69,46.63,13.31,67,20.7,570.32,54.1,13.12,76.7,19.36,6.58,95.81,0.6,21.55
Jordan,2008,82,73.12,6,2,89.89,18.8,23,145.3,14.9,12.7,3.59,10400,29.89,0.18,3.26,,7.4,69.42,51,31.25,6.4,20.99,63.46,62.14,63.94,61.65,27.88,17.69,41,43.78,2015.63,98.3,24.45,35.9,163.37,18.05,94.38,2,
Kazakhstan,2008,54.1,67.02,6,2,95.78,23,11,94.3,66.4,6.6,2.7,15830,27.51,47.5,0.29,1500,162,18.45,22,66.83,15.9,12.66,51,40.29,23.08,42.72,18.27,,30,,4689.17,97.2,52.4,5.2,17.44,3.5,98.57,11.4,0.13
Kenya,2008,22.8,56.78,3,4,42.05,46.2,8.67,57.6,60.9,9.4,4.77,2290,19.61,7.38,3.81,85000,330,13.11,21,10.58,9.8,13.58,54.21,34.47,15.87,47.57,39.42,15.96,58,,144.49,28.5,6.05,39.8,30.24,4.25,82.89,3.7,38.13
Lebanon,2008,86.9,77.94,6,2,34.09,9.7,22.53,109.5,21.3,7.2,1.6,14070,27.69,-2.52,3.66,200,15,19.9,30,4.81,4.7,8.51,78.27,41.26,29.81,46.6,34.13,16.58,49,48.88,2967.59,81.6,37.13,87.8,33.24,29.77,90.62,4.5,
Mali,2008,34.4,55,1,4,26.17,87.5,1.57,63.8,45.3,8.4,6.67,1690,24.24,10.98,10.12,9700,65,40.78,31,50.48,10.2,,40.19,23.79,45.67,39.32,54.33,11.9,72,5.32,,21.1,,103.2,,2.83,,,49.7
Mexico,2008,77.2,75.73,6,5,65.5,15.4,21.71,58.1,43.5,3.5,2.42,14360,24.44,22.16,0.01,10000,20,49.51,36,19.71,23.2,16.98,60.15,61.17,26.92,62.62,51.44,,73,24.75,1908.35,80.1,40.23,21.8,21.25,13.1,94.81,12.2,3.8
Mongolia,2008,65.6,66.56,3,2,66.97,28.6,9.8,121.2,53.8,5.6,2.41,7050,43.57,30.4,4.53,100,428,30.1,30,67.31,4.2,7.31,44.21,36.89,42.31,43.2,55.77,21.65,82,48.48,1424.9,54.3,9.88,4,7.24,57.28,98.16,8.1,1.15
Pakistan,2008,35.8,64.6,3,2,52.7,76.1,7,35.6,21.5,5,3.94,4200,19.21,8.38,0.89,6600,276,21.84,25,0.96,22.5,15.19,54.56,28.64,19.23,31.55,23.08,9.49,26,5.61,444.2,49.4,3.47,13.7,13.73,8.52,71.91,7.4,11.52
Panama,2008,64.5,76.49,6,5,110.18,18,33.82,157.1,48.5,5.6,2.53,13520,41.62,29.75,0.12,1000,58,56.31,34,40.38,16.7,7.48,73.65,58.25,50,69.9,66.35,,83,43.38,1598.32,70.7,34.7,11.5,28.81,22.49,98.12,18.7,5.49
Papua New Guinea,2008,13.1,61.58,3,6,13.34,52.7,1.15,,71,2.5,4.1,1890,,,3.81,2300,432,5.34,20,25.48,0.9,,,28.16,17.79,27.18,49.52,,60,,,19,4.87,21.7,139.77,1.77,,9.2,37.19
Peru,2008,76.2,73.23,6,3,73.19,18,30.57,58.4,65.5,4.5,2.59,8340,26.18,27.2,0.41,3300,140,50.97,36,17.79,29.2,17.74,52.65,43.2,25,63.11,51.92,16.51,73,,1039.45,69.4,19.98,24.4,31.42,6.65,98.78,11.6,7.94
Philippines,2008,45.8,67.58,3,2,75.37,25.9,6.22,76.3,48.7,7.3,3.25,6490,19.29,16.83,0.02,2100,322,24.76,23,8.17,20.5,22.81,53.88,56.8,36.06,52.43,44.71,13.59,61,29.35,588.51,68.4,13.23,22.7,29.87,7.6,89.06,6.4,13.47
Russia,2008,73.6,67.85,6,7,138.87,11.6,26.83,53.4,56.9,6.2,1.49,19600,25.5,34.74,,,119,12.14,21,20.19,14,17.52,59.48,44.66,20.19,38.83,25,15.82,32,74.96,6399.68,72.3,61.61,2.9,,35.56,94.78,11.6,0.07
Rwanda,2008,22,59.32,1,4,12.94,51.5,4.5,41.5,86.4,0.6,4.75,1170,24.17,8.12,19.61,9600,96,62.14,30,33.65,56.3,4.88,54.67,50,37.98,33.98,10.58,12.55,34,3.99,,54.3,0.39,108.9,,4.61,,4.5,63.35
Senegal,2008,41.7,62.54,1,4,44.03,50,7.12,78.6,65.2,9.4,5.17,2070,31.22,4.9,8.02,2700,137,36.41,34,38.94,22,14.04,61.19,50.97,47.12,44.66,40.38,,73,7.72,157.98,43.6,,72.7,,3.75,69.39,,38.19
South Africa,2008,61.2,52.64,6,7,89.52,46.6,8.43,72.9,46.7,22.7,2.54,11350,23.01,21.38,0.4,370000,977,62.62,49,45.67,33,15.99,65.48,69.42,54.81,65.53,63.94,26.81,86,,4710.91,61.7,44.18,6,168.32,7.93,,36,16.89
Sri Lanka,2008,18.3,74.24,3,2,54.19,10.2,5.8,63.4,36.8,5.2,2.26,7290,27.55,13.87,1.84,500,66,52.43,32,7.69,5.8,,,51.46,54.33,41.75,33.65,13.28,52,,429.98,88.5,11.21,47,10.53,14.21,95.54,10,2.85
Tunisia,2008,65.6,74.3,3,4,82.78,16.6,27.53,115.4,24.7,12.4,2.06,9050,25.94,22.89,0.89,200,27,53.4,44,49.04,22.8,19.53,57.69,66.02,57.69,54.85,11.06,20.5,23,33.71,1198.77,87,15.51,7.9,,14.44,98.01,2.7,2.43
Venezuela,2008,88.7,73.48,6,3,97.49,14.7,25.88,51.8,50.6,6.9,2.53,17230,26.83,36.64,0.02,6200,28,9.71,19,11.54,18.6,13.72,41.46,12.14,1.92,5.34,25.96,,47,77.46,3071.8,91.7,26.71,26.8,,17.35,91.04,51.9,
Vietnam,2008,29.1,74.65,3,2,85.7,20.8,23.92,154.3,72.2,2.4,1.92,3810,36.49,22.85,2.65,21000,164,26.21,27,49.52,25.8,18.58,42.51,47.09,40.87,30.1,8.17,22.4,21,18.95,813.16,64.7,11.99,16.8,9.56,3.31,97.27,1.3,16.17
Albania,2009,51.1,76.84,6,1,78.18,15.4,41.2,83.4,45.3,13.8,1.64,8680,34.56,10.4,3.01,61,17,37.8,32,42.65,16.4,6.01,52.37,48.33,36.49,58.37,53.55,,66,33.4,1837.39,90.2,32.56,32.2,,23.73,89.39,2.9,0.54
Bangladesh,2009,29.7,69.68,3,2,34.35,41.3,3.1,40.1,56.6,5,2.39,2450,26.21,19.99,1.11,1300,225,14.83,24,9,18.6,17.22,55.71,23.44,24.64,22.97,38.86,7.5,52,10.52,220.04,54.8,1.25,28.6,20.42,7.22,93.79,2.8,19.71
