Country,Year,Life Expectancy,GNI per capita,World Bank Classification,Gross Domestic Product (PPP),Region,Sub-region,ISO
France,1991,76.84878,21600,5,1080000000000,Europe,Western Europe,FRA
French Polynesia,1991,69.12078,16200,4,,Oceania,Polynesia,PYF
Gabon,1991,61.29168,5160,3,13200000000,Africa,Middle Africa,GAB
"Gambia, The",1991,52.47398,410,1,958000000,Africa,Western Africa,GMB
Georgia,1991,69.96083,,2,20300000000,Asia,Western Asia,GEO
Germany,1991,75.31951,22900,5,1680000000000,Europe,Western Europe,DEU
Ghana,1991,57.15727,420,1,19700000000,Africa,Western Africa,GHA
Gibraltar,1991,,,3,,Europe,Southern Europe,GIB
Greece,1991,77.13659,9850,3,144000000000,Europe,Southern Europe,GRC
Greenland,1991,65.03171,16500,4,,Americas,Northern America,GRL
Grenada,1991,68.6538,2440,2,493000000,Americas,Caribbean,GRD
Guam,1991,72.28761,,3,,Oceania,Micronesia,GUM
Guatemala,1991,62.77312,960,2,32700000000,Americas,Central America,GTM
Guinea,1991,50.52734,430,1,4650000000,Africa,Western Africa,GIN
Guinea-Bissau,1991,49.42354,230,1,1120000000,Africa,Western Africa,GNB
Guyana,1991,63.64851,390,1,1490000000,Americas,South America,GUY
Haiti,1991,54.91441,,1,,Americas,Caribbean,HTI
Honduras,1991,67.14363,620,1,10800000000,Americas,Central America,HND
Hong Kong,1991,77.88293,14320,4,109000000000,Asia,Eastern Asia,HKG
Hungary,1991,69.37707,,3,85900000000,Europe,Eastern Europe,HUN
Iceland,1991,77.99195,25100,5,5810000000,Europe,Northern Europe,ISL
India,1991,58.43822,350,1,1040000000000,Asia,Southern Asia,IND
Indonesia,1991,63.61629,620,1,591000000000,Asia,South-eastern Asia,IDN
Iraq,1991,66.81471,,2,48300000000,Asia,Western Asia,IRQ
Ireland,1991,74.95054,13100,5,50800000000,Europe,Northern Europe,IRL
Isle of Man,1991,,,,,Europe,Northern Europe,IMN
Israel,1991,76.75854,11500,4,68400000000,Asia,Western Asia,ISR
Italy,1991,77.01951,20300,5,1100000000000,Europe,Southern Europe,ITA
Jamaica,1991,71.98754,1760,2,12400000000,Americas,Caribbean,JAM
Japan,1991,79.10073,28300,5,2540000000000,Asia,Eastern Asia,JPN
Jordan,1991,70.15732,1160,2,15200000000,Asia,Western Asia,JOR
Kazakhstan,1991,67.98293,,2,127000000000,Asia,Central Asia,KAZ
Kenya,1991,58.22898,350,1,37700000000,Africa,Eastern Africa,KEN
Kiribati,1991,60.83459,960,2,94839970,Oceania,Micronesia,KIR
North Korea,1991,69.32532,,2,,Asia,Eastern Asia,PRK
South Korea,1991,71.73024,7550,3,413000000000,Asia,Eastern Asia,KOR
Kosovo,1991,67.94878,,,,Europe,Southern Europe,XKX
Kuwait,1991,72.42678,,4,,Asia,Western Asia,KWT
Kyrgyz Republic,1991,68.55122,,2,9390000000,Asia,Central Asia,KGZ
Lao PDR,1991,54.05271,210,1,4780000000,Asia,South-eastern Asia,LAO
Latvia,1991,69.03244,,3,,Europe,Northern Europe,LVA
Lebanon,1991,70.53605,1780,2,19600000000,Asia,Western Asia,LBN
Lesotho,1991,59.63639,620,1,1570000000,Africa,Southern Africa,LSO
