Country,ISO,Region,Year,World Bank Classification,r_Gross Domestic Product (PPP),y_Life Expectancy (years),x_GNI per capita (US$)
St. Lucia,LCA,Americas,1991,2,752000000,71.1,2830
St. Martin (French part),MAF,Americas,1991,0,,75.9,
St. Vincent and the Grenadines,VCT,Americas,1991,2,405000000,70.2,2230
Sudan,SDN,Africa,1991,1,32400000000,55.7,440
Suriname,SUR,Americas,1991,3,2970000000,67.6,1120
Swaziland,SWZ,Africa,1991,2,3240000000,59.3,1290
Sweden,SWE,Europe,1991,5,176000000000,77.7,29100
Switzerland,CHE,Europe,1991,5,189000000000,77.5,37510
Syrian Arab Republic,SYR,Asia,1991,2,,70.4,990
Tajikistan,TJK,Asia,1991,2,11900000000,62.6,
Tanzania,TZA,Africa,1991,1,24800000000,49.6,180
Thailand,THA,Asia,1991,2,273000000000,70.3,1660
Timor-Leste,TLS,Asia,1991,0,,49.3,
Togo,TGO,Africa,1991,1,3390000000,55.8,400
Tonga,TON,Oceania,1991,2,242000000,69.7,1350
Trinidad and Tobago,TTO,Americas,1991,3,10300000000,68.1,3850
Tunisia,TUN,Africa,1991,2,32100000000,70.5,1480
Turkey,TUR,Asia,1991,2,345000000000,64.8,2580
Turkmenistan,TKM,Asia,1991,2,19500000000,62.7,
Turks and Caicos Islands,TCA,Americas,1991,,,,
Tuvalu,TUV,Oceania,1991,,14800000,,
Uganda,UGA,Africa,1991,1,9600000000,44.6,250
Ukraine,UKR,Europe,1991,2,332000000000,68.9,
United Arab Emirates,ARE,Asia,1991,4,140000000000,72.0,
United Kingdom,GBR,Europe,1991,5,979000000000,76.1,19100
United States,USA,Americas,1991,5,6170000000000,75.4,24400
Uruguay,URY,Americas,1991,3,21200000000,72.7,3180
Uzbekistan,UZB,Asia,1991,2,41900000000,66.5,
Vanuatu,VUT,Oceania,1991,2,257000000,63.6,1090
"Venezuela, RB",VEN,Americas,1991,3,210000000000,70.0,2580
Vietnam,VNM,Asia,1991,1,70100000000,70.7,110
Virgin Islands (U.S.),VIR,Americas,1991,4,,75.1,
West Bank and Gaza,PSE,Asia,1991,0,,68.4,
"Yemen, Rep.",YEM,Asia,1991,1,28500000000,58.1,
Zambia,ZMB,Africa,1991,1,12550499563,43.6,390
Zimbabwe,ZWE,Africa,1991,1,18666569832,58.2,850
Taiwan,TWN,Asia,1991,4,230000000000,75.0,9382
Afghanistan,AFG,Asia,1992,1,,51.4,
Albania,ALB,Europe,1992,2,6180000000,71.9,300
Algeria,DZA,Africa,1992,2,182000000000,67.2,1890
American Samoa,ASM,Oceania,1992,3,,,
Andorra,AND,Europe,1992,,,,20140
Angola,AGO,Africa,1992,2,33600000000,41.3,1580
Antigua and Barbuda,ATG,Americas,1992,3,746000000,71.6,6370
Argentina,ARG,Americas,1992,3,305000000000,72.0,6280
Armenia,ARM,Asia,1992,2,4650000000,67.9,310
Aruba,ABW,Americas,1992,3,,73.5,
Australia,AUS,Oceania,1992,5,319000000000,77.4,18600
Austria,AUT,Europe,1992,5,166000000000,75.8,24400
Azerbaijan,AZE,Asia,1992,2,32000000000,64.2,
"Bahamas, The",BHS,Americas,1992,4,3917834413,70.9,11550
Bahrain,BHR,Asia,1992,3,14100000000,72.9,9890
Bangladesh,BGD,Asia,1992,1,102000000000,59.7,320
Barbados,BRB,Americas,1992,3,2140000000,71.6,7480
Belarus,BLR,Europe,1992,3,50200000000,70.0,1670
Belgium,BEL,Europe,1992,5,204000000000,76.4,23300
Belize,BLZ,Americas,1992,2,819673944,70.7,2660
Benin,BEN,Africa,1992,1,5340000000,54.3,360
Bermuda,BMU,Americas,1992,4,1580000000,,29000
Bhutan,BTN,Asia,1992,1,888985220,54.0,480
Bolivia,BOL,Americas,1992,2,18600000000,56.2,770
Bosnia and Herzegovina,BIH,Europe,1992,2,,70.5,
Botswana,BWA,Africa,1992,3,8440000000,60.9,3050
Brazil,BRA,Americas,1992,3,1060000000000,66.2,3140
British Virgin Islands,VGB,Americas,1992,,,,
Brunei Darussalam,BRN,Asia,1992,4,16200000000,73.5,15300
Bulgaria,BGR,Europe,1992,2,40600000000,71.5,1430
Burkina Faso,BFA,Africa,1992,1,5560000000,49.3,320
Burundi,BDI,Africa,1992,1,4270000000,47.7,200
Cabo Verde,CPV,Africa,1992,2,435000000,66.4,1040
Cambodia,KHM,Asia,1992,1,,54.2,
